10:07:38 || Communicator.BetradarComService.OnStart || Connector Start at UTC: 7/29/2017 7:49:38 AM
15:07:08 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:08 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:08 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:08 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:08 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:08 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:08 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:08 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:08 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:08 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:09 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:10 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:11 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:12 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:50 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:10 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:10 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:10 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:10 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:11 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:12 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:13 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:14 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:15 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:16 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:17 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
